150,10,3
0,62
62,85,0,2,1
81,87,0,1,1
56,86,2,2,1
74,88,1,2,1
17,39,0,2,1
97,93,1,2,1
47,89,2,2,1
25,14,1,1,1
55,81,0,0,1
88,33,1,2,1
50,24,2,2,1
91,38,2,2,1
27,88,0,0,1
58,53,0,1,1
39,21,0,0,1
50,93,1,2,1
32,78,0,0,1
94,10,2,2,1
96,1,1,1,1
44,94,1,2,1
65,17,2,2,1
0,90,2,2,1
98,21,1,2,1
46,45,2,2,1
56,1,0,0,1
63,56,0,1,1
13,5,2,2,1
52,31,0,0,1
60,89,1,1,1
55,13,0,2,1
6,46,0,0,1
81,31,0,0,1
83,37,2,2,1
29,67,0,1,1
12,61,0,2,1
72,50,1,1,1
41,18,1,1,1
54,19,0,2,1
51,82,1,1,1
54,92,2,2,1
71,32,1,1,1
67,88,0,0,1
84,99,1,2,1
25,46,1,1,1
43,89,0,2,1
76,1,1,1,1
28,29,0,0,1
13,26,0,1,1
83,3,2,2,1
24,17,2,2,1
74,37,1,2,1
21,14,1,2,1
59,72,0,1,1
19,58,0,1,1
50,83,2,2,1
91,65,1,1,1
69,33,1,2,1
26,6,2,2,1
9,40,0,1,1
19,11,0,1,1
16,50,1,2,1
19,81,1,1,1
11,38,2,2,1
72,47,0,0,1
57,93,0,2,1
57,56,1,2,1
74,95,0,0,1
16,83,2,2,1
38,8,2,2,1
53,32,0,1,1
94,8,2,2,1
25,38,0,1,1
55,62,0,1,1
69,53,2,2,1
94,9,0,2,1
10,34,0,2,1
61,88,1,2,1
72,29,1,2,1
25,69,0,1,1
47,35,0,1,1
79,32,2,2,1
92,13,1,1,1
87,81,2,2,1
44,14,1,1,1
55,1,2,2,1
40,69,0,1,1
48,68,2,2,1
76,1,2,2,1
57,76,2,2,1
44,21,1,2,1
44,5,0,0,1
76,49,0,0,1
60,28,0,1,1
25,86,2,2,1
64,87,0,1,1
47,40,0,2,1
32,76,1,1,1
38,56,0,2,1
69,85,1,2,1
64,64,2,2,1
15,36,0,1,1
33,81,0,1,1
9,63,2,2,1
67,56,0,0,1
21,47,0,1,1
80,94,2,2,1
63,75,2,2,1
95,98,1,1,1
31,86,2,2,1
34,60,1,2,1
40,11,2,2,1
10,6,0,0,1
37,32,0,0,1
18,52,0,2,1
29,80,0,0,1
26,94,2,2,1
23,53,0,2,1
58,0,0,0,1
40,89,0,0,1
15,81,1,2,1
31,37,0,0,1
52,44,0,2,1
9,64,0,0,1
74,6,1,1,1
32,68,2,2,1
86,77,1,2,1
32,36,0,1,1
65,8,2,2,1
7,87,2,2,1
3,36,0,2,1
45,21,0,1,1
11,80,0,1,1
2,12,1,1,1
56,96,2,2,1
31,51,0,2,1
75,0,0,0,1
78,69,1,2,1
88,45,2,2,1
93,64,0,1,1
90,26,2,2,1
13,17,2,2,1
19,83,0,1,1
46,69,0,1,1
75,43,1,1,1
91,75,0,2,1
31,76,1,1,1
12,30,1,1,1
76,96,2,2,1
21,52,1,2,1
51,99,1,1,1
