150,20,3
56,16
50,84,0,2,1
1,89,0,0,1
16,39,1,2,1
65,70,0,1,1
42,56,0,1,1
38,48,0,1,1
42,38,0,1,1
55,97,0,2,1
43,13,2,2,1
96,95,2,2,1
99,25,0,2,1
51,69,1,2,1
45,35,1,2,1
92,93,1,2,1
88,1,0,2,1
47,42,0,2,1
21,95,0,0,1
51,35,0,0,1
92,44,0,0,1
49,74,0,1,1
88,10,0,2,1
63,87,2,2,1
96,31,2,2,1
27,39,1,2,1
42,54,1,1,1
3,96,1,2,1
54,47,0,0,1
64,51,0,0,1
87,96,2,2,1
51,65,1,1,1
53,2,0,2,1
60,77,1,2,1
66,40,2,2,1
96,98,2,2,1
49,42,1,1,1
34,98,0,0,1
72,89,0,0,1
31,14,0,0,1
31,98,0,0,1
82,98,2,2,1
61,37,2,2,1
94,23,0,1,1
68,50,1,2,1
25,87,1,2,1
47,56,1,1,1
30,19,2,2,1
82,46,2,2,1
12,71,0,2,1
49,81,0,0,1
18,84,2,2,1
32,19,0,1,1
72,70,0,2,1
68,59,1,1,1
1,49,2,2,1
10,2,2,2,1
17,88,1,1,1
70,21,1,1,1
60,0,1,2,1
6,9,0,0,1
64,3,0,2,1
16,90,0,2,1
90,32,0,1,1
15,47,2,2,1
50,15,2,2,1
98,70,2,2,1
16,20,0,0,1
29,25,1,1,1
83,27,1,1,1
26,75,2,2,1
8,88,1,2,1
86,13,2,2,1
58,42,1,1,1
72,49,2,2,1
77,91,1,1,1
19,86,1,2,1
55,25,1,1,1
1,61,2,2,1
79,9,2,2,1
95,48,2,2,1
81,92,1,2,1
6,60,0,0,1
40,55,2,2,1
54,52,1,2,1
56,15,2,2,1
42,74,0,1,1
55,10,0,1,1
92,82,2,2,1
92,59,0,1,1
49,16,2,2,1
45,51,0,1,1
25,99,1,1,1
7,38,1,2,1
65,26,0,1,1
72,33,0,0,1
20,12,0,2,1
31,59,1,2,1
57,31,0,1,1
80,40,1,1,1
6,50,1,1,1
32,35,2,2,1
20,84,0,1,1
95,51,0,1,1
72,84,1,1,1
16,34,0,2,1
35,92,1,1,1
38,56,0,0,1
64,73,1,2,1
60,55,2,2,1
99,51,2,2,1
97,27,0,0,1
17,20,2,2,1
84,2,1,2,1
53,49,0,0,1
93,16,2,2,1
85,41,2,2,1
38,19,2,2,1
0,16,2,2,1
47,86,1,2,1
42,11,0,1,1
25,32,0,0,1
12,15,1,1,1
9,68,1,2,1
71,11,1,2,1
50,72,2,2,1
55,64,2,2,1
59,63,2,2,1
70,75,1,1,1
98,0,1,2,1
79,80,0,2,1
48,84,0,1,1
60,62,2,2,1
77,71,2,2,1
72,48,1,1,1
99,2,1,1,1
86,79,1,2,1
95,93,0,1,1
5,80,2,2,1
38,78,2,2,1
38,62,0,1,1
68,38,1,2,1
75,35,1,1,1
59,69,1,2,1
39,55,0,2,1
96,83,1,2,1
16,39,1,2,1
3,30,2,2,1
31,5,0,0,1
26,69,0,2,1
81,41,2,2,1
38,28,2,2,1
